GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; One race-- - White,Total; Margin of Error; One race-- - White,Median income (dollars); Estimate; One race-- - White,Median income (dollars); Margin of Error; One race-- - White,Total; Estimate; One race-- - Black or African American,Total; Margin of Error; One race-- - Black or African American,Median income (dollars); Estimate; One race-- - Black or African American,Median income (dollars); Margin of Error; One race-- - Black or African American,Total; Estimate; One race-- - American Indian and Alaska Native,Total; Margin of Error; One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; One race-- - American Indian and Alaska Native,Total; Estimate; One race-- - Asian,Total; Margin of Error; One race-- - Asian,Median income (dollars); Estimate; One race-- - Asian,Median income (dollars); Margin of Error; One race-- - Asian,Total; Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; One race-- - Some other race,Total; Margin of Error; One race-- - Some other race,Median income (dollars); Estimate; One race-- - Some other race,Median income (dollars); Margin of Error; One race-- - Some other race,Total; Estimate; Two or more races,Total; Margin of Error; Two or more races,Median income (dollars); Estimate; Two or more races,Median income (dollars); Margin of Error; Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Married-couple families,Total; Margin of Error; FAMILIES - Married-couple families,Median income (dollars); Estimate; FAMILIES - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Married-couple families,"Total; Estimate; FAMILIES - Female householder, no husband present","Total; Margin of Error; FAMILIES - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Female householder, no husband present","Total; Estimate; FAMILIES - Male householder, no wife present","Total; Margin of Error; FAMILIES - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0500000US06037,06037,"Los Angeles County, California",3218511,6253,56241,266,57.2,0.1,62278,367,10.2,0.1,42479,676,0.5,0.1,49021,3260,14.0,0.1,65420,860,0.2,0.1,61569,3845,15.2,0.1,42880,419,2.7,0.1,57879,1816,36.0,0.1,45587,310,37.9,0.1,73289,511,3.4,0.1,30202,726,38.5,0.1,58565,507,39.2,0.1,66575,453,18.8,0.1,38880,460,2163751,6682,62627,335,48.6,0.2,55258,463,51.4,0.2,69179,467,66.9,0.2,78023,494,23.1,0.2,36569,427,10.0,0.1,46769,898,1054760,4820,40295,375,52.1,0.3,34839,527,42.6,0.3,29715,561,9.5,0.2,65539,1392,47.9,0.3,46339,771,35.6,0.3,39142,728,12.3,0.2,71644,1614,30.6,,,,32.0,,,,24.7,,,
8600000US89010,89010,ZCTA5 89010,125,37,27054,12891,88.8,11.5,33250,10674,0.0,22.6,,,6.4,9.3,,,0.0,22.6,,,0.0,22.6,,,4.8,8.3,,,0.0,22.6,,,32.0,17.5,33000,8068,61.6,17.2,25625,23962,0.0,22.6,,,29.6,17.2,26771,10353,24.0,13.9,53000,92988,46.4,16.8,30000,20832,81,31,33083,10313,22.2,19.5,26667,12620,77.8,19.5,34219,19522,74.1,21.3,34643,17903,9.9,13.9,,,16.0,17.2,32969,30598,44,24,16875,27371,27.3,26.5,7143,54449,27.3,26.5,7143,54449,0.0,44.7,,,72.7,26.5,20000,27643,56.8,30.1,15313,15718,15.9,22.9,,,32.8,,,,37.0,,,,25.0,,,
8600000US89019,89019,ZCTA5 89019,922,287,37586,30216,81.0,9.5,38233,30556,3.6,3.1,21964,18363,0.0,3.5,,,14.8,8.3,46250,65344,0.0,3.5,,,0.0,3.5,,,0.7,1.4,,,8.5,7.2,23661,13166,72.6,11.8,50394,33931,3.8,4.9,14183,19046,12.1,8.7,75547,98745,60.8,17.3,50903,33510,23.2,14.4,31216,35487,508,281,39423,52208,27.6,22.2,58649,95730,72.4,22.2,37297,57673,48.4,33.5,106250,105007,35.2,38.5,36180,353,16.3,15.8,39135,38726,414,162,35250,29700,27.1,19.4,28269,42405,27.1,19.4,28269,42405,0.0,7.5,,,72.9,19.4,39844,35210,37.0,19.5,21394,6577,36.0,22.6,75186,40749,49.8,,,,61.4,,,,35.5,,,
8600000US89060,89060,ZCTA5 89060,4577,333,39642,4090,90.7,3.0,38258,4991,5.2,2.8,82668,80363,1.6,1.6,33405,10327,0.8,0.7,61989,1930,0.3,0.6,,,1.1,1.2,46678,12337,0.2,0.4,,,11.4,3.9,21983,5781,80.7,4.6,40407,2464,2.2,2.1,23797,2972,19.3,5.6,22448,16298,43.8,6.8,45753,6305,34.7,4.6,35211,7455,2978,303,44069,4517,30.8,6.1,22451,27359,69.2,6.1,54727,16777,80.5,6.5,46680,18293,10.2,5.7,21089,5796,9.2,4.1,38646,23548,1599,300,26948,6181,53.7,10.1,25610,5631,46.8,10.5,26047,8571,6.9,6.0,24646,30555,46.3,10.1,32054,20114,34.8,8.6,31324,25896,11.5,5.9,33000,19461,30.7,,,,32.4,,,,27.5,,,
8600000US89061,89061,ZCTA5 89061,1782,254,51423,11900,86.6,6.4,48203,12199,3.3,3.0,14958,95514,1.2,1.8,,,5.9,5.3,153177,92925,0.0,1.8,,,2.4,2.3,57663,55211,0.6,1.0,,,15.9,6.3,55815,27686,73.7,8.0,47539,12586,1.5,2.3,,,21.6,8.3,115234,85134,49.3,8.8,55272,26170,27.7,7.1,49023,15195,1225,216,57639,8501,33.6,9.4,67600,32447,66.4,9.4,56386,14787,86.8,6.7,58869,9304,7.5,6.1,18851,18161,5.7,5.6,81563,70816,557,198,39766,22124,37.0,17.9,26429,22315,33.4,17.7,25893,29429,3.6,4.7,35577,25386,63.0,17.9,58375,44817,47.4,18.9,68571,118379,15.6,11.2,57875,20948,27.8,,,,32.8,,,,16.7,,,
8600000US89439,89439,ZCTA5 89439,721,116,61571,26353,97.5,4.3,60994,27648,0.0,4.4,,,0.0,4.4,,,0.0,4.4,,,0.0,4.4,,,2.5,4.3,,,0.0,4.4,,,9.0,11.1,80771,5177,91.0,11.1,59643,21599,0.0,4.4,,,24.0,14.8,90346,93478,40.6,17.5,81410,41715,35.4,15.9,35240,24935,524,129,81408,21441,15.6,14.3,123780,142819,84.4,14.3,80805,29649,98.5,2.3,81523,21008,1.5,2.3,,,0.0,6.0,,,197,132,58147,32035,42.6,39.1,38385,24544,9.6,16.3,,,33.0,37.5,,,57.4,39.1,60032,6067,0.0,15.2,,,57.4,39.1,60032,6067,29.0,,,,34.5,,,,14.2,,,
8600000US90001,90001,ZCTA5 90001,12832,311,35658,1685,64.3,2.8,36903,1638,15.9,1.6,28428,4648,0.4,0.4,45089,51631,0.2,0.2,9286,36128,0.0,0.3,,,18.1,2.2,34756,4190,1.0,0.4,50735,10173,82.8,1.8,36875,1623,0.9,0.6,19583,12656,4.6,1.2,29080,6393,46.8,2.8,34431,3793,36.7,2.7,39841,3278,11.9,1.4,28008,5644,11168,344,34894,2147,61.0,2.6,29229,2049,39.0,2.6,43795,4414,52.1,3.0,41044,2161,30.9,2.7,23720,2162,17.0,2.6,29447,5229,1664,223,24434,5688,53.8,8.4,14827,8060,42.8,7.1,13020,1555,11.1,5.2,39516,27755,46.2,8.4,30430,6608,34.6,8.7,25455,5453,11.5,5.0,59643,27625,53.0,,,,51.7,,,,39.3,,,
8600000US90002,90002,ZCTA5 90002,11617,326,32299,3307,47.7,2.9,37466,2682,40.6,2.4,22443,3274,0.2,0.2,67750,26053,0.3,0.2,14205,61436,0.0,0.3,,,10.2,1.6,41165,5640,1.0,0.4,30250,16101,58.5,2.5,38335,2395,1.1,0.6,17778,12839,3.3,1.1,23787,9676,42.1,2.6,33204,3992,37.0,2.4,39841,3847,17.6,1.8,22114,2383,9329,386,36015,1961,62.1,2.7,29151,3183,37.9,2.7,45718,4260,49.9,3.3,50086,4607,36.7,3.2,22774,3225,13.5,2.6,30457,6535,2288,281,13025,1665,60.4,7.7,12183,664,54.6,7.4,11882,525,5.9,3.2,50625,53603,39.6,7.7,15272,6910,31.0,6.7,14594,5720,8.6,3.9,21974,16384,53.4,,,,51.8,,,,49.5,,,
8600000US90003,90003,ZCTA5 90003,16399,389,29174,2132,29.7,2.1,36710,2845,38.7,2.0,22345,2072,1.0,0.5,39667,26904,0.2,0.2,21563,117786,0.0,0.1,,,29.0,2.1,30396,4718,1.4,0.4,36964,17935,59.8,1.9,35146,2392,0.7,0.4,26579,12700,4.1,0.9,21131,4711,48.0,2.0,28351,2399,34.7,2.0,35258,2943,13.1,1.6,25649,2937,13217,426,29911,1769,64.9,2.4,26419,1784,35.1,2.4,37219,1974,44.3,2.7,38204,2292,39.2,2.8,20328,2441,16.6,2.4,27737,4504,3182,323,16679,2658,50.8,5.7,13523,2515,45.1,5.5,12362,1580,5.7,2.7,48393,17304,49.2,5.7,21415,3092,37.5,5.8,18477,4601,11.7,3.6,31192,9486,50.8,,,,49.1,,,,45.2,,,
