GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; One race-- - White,Total; Margin of Error; One race-- - White,Median income (dollars); Estimate; One race-- - White,Median income (dollars); Margin of Error; One race-- - White,Total; Estimate; One race-- - Black or African American,Total; Margin of Error; One race-- - Black or African American,Median income (dollars); Estimate; One race-- - Black or African American,Median income (dollars); Margin of Error; One race-- - Black or African American,Total; Estimate; One race-- - American Indian and Alaska Native,Total; Margin of Error; One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; One race-- - American Indian and Alaska Native,Total; Estimate; One race-- - Asian,Total; Margin of Error; One race-- - Asian,Median income (dollars); Estimate; One race-- - Asian,Median income (dollars); Margin of Error; One race-- - Asian,Total; Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; One race-- - Some other race,Total; Margin of Error; One race-- - Some other race,Median income (dollars); Estimate; One race-- - Some other race,Median income (dollars); Margin of Error; One race-- - Some other race,Total; Estimate; Two or more races,Total; Margin of Error; Two or more races,Median income (dollars); Estimate; Two or more races,Median income (dollars); Margin of Error; Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Married-couple families,Total; Margin of Error; FAMILIES - Married-couple families,Median income (dollars); Estimate; FAMILIES - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Married-couple families,"Total; Estimate; FAMILIES - Female householder, no husband present","Total; Margin of Error; FAMILIES - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Female householder, no husband present","Total; Estimate; FAMILIES - Male householder, no wife present","Total; Margin of Error; FAMILIES - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
8600000US90001,90001,ZCTA5 90001,12832,311,35658,1685,64.3,2.8,36903,1638,15.9,1.6,28428,4648,0.4,0.4,45089,51631,0.2,0.2,9286,36128,0.0,0.3,-,**,18.1,2.2,34756,4190,1.0,0.4,50735,10173,82.8,1.8,36875,1623,0.9,0.6,19583,12656,4.6,1.2,29080,6393,46.8,2.8,34431,3793,36.7,2.7,39841,3278,11.9,1.4,28008,5644,11168,344,34894,2147,61.0,2.6,29229,2049,39.0,2.6,43795,4414,52.1,3.0,41044,2161,30.9,2.7,23720,2162,17.0,2.6,29447,5229,1664,223,24434,5688,53.8,8.4,14827,8060,42.8,7.1,13020,1555,11.1,5.2,39516,27755,46.2,8.4,30430,6608,34.6,8.7,25455,5453,11.5,5.0,59643,27625,53.0,(X),(X),(X),51.7,(X),(X),(X),39.3,(X),(X),(X)
8600000US90002,90002,ZCTA5 90002,11617,326,32299,3307,47.7,2.9,37466,2682,40.6,2.4,22443,3274,0.2,0.2,67750,26053,0.3,0.2,14205,61436,0.0,0.3,-,**,10.2,1.6,41165,5640,1.0,0.4,30250,16101,58.5,2.5,38335,2395,1.1,0.6,17778,12839,3.3,1.1,23787,9676,42.1,2.6,33204,3992,37.0,2.4,39841,3847,17.6,1.8,22114,2383,9329,386,36015,1961,62.1,2.7,29151,3183,37.9,2.7,45718,4260,49.9,3.3,50086,4607,36.7,3.2,22774,3225,13.5,2.6,30457,6535,2288,281,13025,1665,60.4,7.7,12183,664,54.6,7.4,11882,525,5.9,3.2,50625,53603,39.6,7.7,15272,6910,31.0,6.7,14594,5720,8.6,3.9,21974,16384,53.4,(X),(X),(X),51.8,(X),(X),(X),49.5,(X),(X),(X)
8600000US90003,90003,ZCTA5 90003,16399,389,29174,2132,29.7,2.1,36710,2845,38.7,2.0,22345,2072,1.0,0.5,39667,26904,0.2,0.2,21563,117786,0.0,0.1,-,**,29.0,2.1,30396,4718,1.4,0.4,36964,17935,59.8,1.9,35146,2392,0.7,0.4,26579,12700,4.1,0.9,21131,4711,48.0,2.0,28351,2399,34.7,2.0,35258,2943,13.1,1.6,25649,2937,13217,426,29911,1769,64.9,2.4,26419,1784,35.1,2.4,37219,1974,44.3,2.7,38204,2292,39.2,2.8,20328,2441,16.6,2.4,27737,4504,3182,323,16679,2658,50.8,5.7,13523,2515,45.1,5.5,12362,1580,5.7,2.7,48393,17304,49.2,5.7,21415,3092,37.5,5.8,18477,4601,11.7,3.6,31192,9486,50.8,(X),(X),(X),49.1,(X),(X),(X),45.2,(X),(X),(X)
8600000US90004,90004,ZCTA5 90004,23101,390,38430,1890,37.9,1.9,50525,3697,4.1,0.8,28115,3841,0.5,0.3,26250,17535,28.1,1.4,39628,4551,0.0,0.2,-,**,26.5,1.7,30452,1931,2.9,0.6,42132,12096,40.3,1.6,31575,1753,24.9,1.5,62321,8119,4.9,0.9,26094,5012,46.9,1.8,39116,2677,35.8,1.9,41987,3730,12.4,1.2,33281,4231,13731,511,39582,2403,48.0,2.5,35404,3645,52.0,2.5,43315,2250,62.0,2.4,47601,4602,26.4,2.2,25617,2605,11.6,1.8,30815,8319,9370,485,32102,2260,46.5,3.7,30093,2767,36.6,3.3,26360,3412,9.9,2.1,51632,10795,53.5,3.7,36169,5421,34.9,3.4,26790,3987,18.6,2.7,55000,6348,23.1,(X),(X),(X),26.1,(X),(X),(X),17.1,(X),(X),(X)
8600000US90005,90005,ZCTA5 90005,15224,366,32086,1167,25.6,2.2,32787,2871,8.6,1.6,36224,8811,0.4,0.3,48750,54095,35.7,1.7,32388,4645,0.4,0.5,51522,86229,28.2,2.1,30629,2123,1.1,0.4,34688,33595,41.7,2.1,30357,2017,13.2,1.4,39504,8868,6.2,1.1,23019,5850,47.1,2.1,34042,1322,31.0,2.0,35283,4070,15.6,1.3,16486,3542,8351,345,34044,1790,47.7,3.7,29773,2380,52.3,3.7,40735,4680,52.4,3.1,38385,3647,27.1,3.0,26409,2276,20.5,3.3,36729,4843,6873,366,25680,2507,49.9,3.5,22239,3956,42.2,3.5,16606,4292,7.7,1.8,39375,4320,50.1,3.5,30728,4504,34.9,3.5,25480,4976,15.1,3.1,39598,4939,19.2,(X),(X),(X),22.2,(X),(X),(X),14.6,(X),(X),(X)
8600000US90006,90006,ZCTA5 90006,18404,380,30260,901,23.1,1.7,30006,2118,4.6,0.9,21414,4249,0.3,0.2,23083,9316,25.8,1.6,30581,3879,0.2,0.2,24853,102261,44.7,2.0,30737,1007,1.2,0.4,40000,23661,64.4,1.7,30285,1036,4.4,0.9,37344,17804,6.3,1.0,34964,6749,44.8,1.8,31709,1024,35.3,1.9,31199,1821,13.6,1.4,17640,2259,12616,439,30192,1508,49.5,2.6,23421,2965,50.5,2.6,36314,1847,51.1,2.6,36338,1394,29.0,2.3,20924,2079,19.8,2.1,27960,2797,5788,385,21983,1655,45.3,4.3,18337,2885,35.8,3.6,12458,3739,9.5,2.6,32103,9530,54.7,4.3,24760,2606,37.7,3.9,20605,2630,17.0,3.1,35323,6023,21.9,(X),(X),(X),23.2,(X),(X),(X),15.4,(X),(X),(X)
8600000US90007,90007,ZCTA5 90007,11361,301,22047,1262,31.7,2.6,23467,2682,14.2,1.5,17091,3912,0.3,0.3,49821,19722,17.3,1.8,12167,2590,0.1,0.1,34583,17234,33.6,2.6,26728,5117,2.8,0.8,15197,7996,51.8,2.0,29845,3152,14.6,1.7,10668,2474,25.8,2.0,10741,1800,37.3,2.6,25975,4108,24.2,2.3,33811,3039,12.8,1.6,16675,1842,5650,290,29446,2653,51.5,3.6,23830,4347,48.5,3.6,34942,5091,46.5,4.3,41435,7443,35.8,3.8,20823,2813,17.6,3.1,28102,9029,5711,280,12145,902,47.9,3.9,11212,827,28.4,3.8,10597,908,19.5,3.0,17344,8784,52.1,3.9,15841,3569,29.1,3.3,12027,2374,23.0,3.4,22981,5646,33.1,(X),(X),(X),34.3,(X),(X),(X),29.1,(X),(X),(X)
8600000US90008,90008,ZCTA5 90008,14085,414,39661,3779,5.8,1.3,36222,11168,77.6,2.3,41424,4516,0.5,0.5,51944,20617,3.5,1.1,42574,20872,0.0,0.3,-,**,9.4,1.6,31620,5991,3.2,1.1,38333,29518,13.1,1.8,29677,7440,2.2,0.9,65909,40326,1.4,0.8,30772,1451,29.8,2.7,39508,7337,42.6,2.7,46143,6320,26.2,2.2,28185,9727,7919,433,52874,5112,44.5,3.7,37971,9665,55.5,3.7,69227,7729,47.3,4.3,69817,20047,41.4,3.9,39618,4831,11.3,2.8,39063,25696,6166,382,23041,4568,62.8,5.0,19094,1943,59.9,4.8,18394,2121,2.9,1.6,52188,52391,37.2,5.0,31050,2922,31.8,5.1,29516,5499,5.4,2.3,56273,14582,33.5,(X),(X),(X),39.4,(X),(X),(X),25.2,(X),(X),(X)
8600000US90010,90010,ZCTA5 90010,2109,272,53353,7289,17.4,4.9,51615,21915,1.3,1.6,58224,76418,1.6,2.0,165800,1639,75.0,6.1,53779,14967,0.0,1.8,-,**,3.3,2.5,48065,28381,1.4,1.6,52917,62189,8.3,3.5,49355,3384,12.4,4.3,47450,34036,5.6,3.5,39191,41112,47.7,8.0,57258,10259,28.6,7.5,61290,18352,18.0,5.5,18333,18395,807,201,64276,6144,20.7,7.6,71133,46270,79.3,7.6,62339,10815,66.2,15.2,63889,13311,20.9,12.7,64647,97317,12.9,8.2,44464,62695,1302,259,43000,9760,50.0,9.1,26394,29217,47.2,9.2,20500,23129,2.8,2.7,79583,45272,50.0,9.1,47621,11311,33.9,8.8,40822,10234,16.1,7.1,56750,77543,21.8,(X),(X),(X),24.5,(X),(X),(X),18.7,(X),(X),(X)
