GEO.id,GEO.id2,GEO.display-label,D001,D026,D035,D036,D037,D038,D039
Id,Id2,Geography,Total:,Female:,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years
8600000US90001,90001,ZCTA5 90001,356,182,22,13,10,6,8
8600000US90002,90002,ZCTA5 90002,330,173,10,16,16,9,12
8600000US90003,90003,ZCTA5 90003,462,231,18,12,11,15,17
8600000US90004,90004,ZCTA5 90004,10466,4994,527,440,430,399,345
8600000US90005,90005,ZCTA5 90005,3039,1358,216,129,112,79,86
8600000US90006,90006,ZCTA5 90006,1861,781,87,56,52,39,37
8600000US90007,90007,ZCTA5 90007,7053,3120,192,70,42,30,29
8600000US90008,90008,ZCTA5 90008,731,383,21,27,25,45,27
8600000US90010,90010,ZCTA5 90010,723,324,35,18,25,20,18
8600000US90011,90011,ZCTA5 90011,720,341,30,27,21,14,11
8600000US90012,90012,ZCTA5 90012,4342,1058,212,117,83,54,58
8600000US90013,90013,ZCTA5 90013,3301,1180,252,146,113,94,82
8600000US90014,90014,ZCTA5 90014,2158,743,175,123,78,46,56
8600000US90015,90015,ZCTA5 90015,1944,809,139,96,46,40,42
8600000US90016,90016,ZCTA5 90016,2127,1045,120,98,108,83,78
8600000US90017,90017,ZCTA5 90017,2335,1009,177,97,55,43,32
8600000US90018,90018,ZCTA5 90018,1833,926,69,57,84,66,63
8600000US90019,90019,ZCTA5 90019,8068,3829,450,447,422,352,278
8600000US90020,90020,ZCTA5 90020,4030,1854,224,152,126,111,122
8600000US90021,90021,ZCTA5 90021,858,276,32,33,33,18,34
8600000US90022,90022,ZCTA5 90022,1163,583,44,29,26,32,32
8600000US90023,90023,ZCTA5 90023,508,244,11,15,12,10,8
8600000US90024,90024,ZCTA5 90024,27197,14180,1028,732,549,602,541
8600000US90025,90025,ZCTA5 90025,24328,12047,1703,1332,929,822,704
8600000US90026,90026,ZCTA5 90026,14329,6332,1215,1074,771,612,421
8600000US90027,90027,ZCTA5 90027,26767,13230,1694,1467,1103,951,849
8600000US90028,90028,ZCTA5 90028,13991,5977,964,653,424,334,307
8600000US90029,90029,ZCTA5 90029,7898,3813,500,384,249,227,219
8600000US90031,90031,ZCTA5 90031,1985,867,87,103,95,84,58
8600000US90032,90032,ZCTA5 90032,2129,997,76,77,81,69,74
8600000US90033,90033,ZCTA5 90033,1064,487,35,30,26,25,23
8600000US90034,90034,ZCTA5 90034,21322,10264,1505,1117,822,724,669
