GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
8600000US90001,90001,ZCTA5 90001,57110
8600000US90002,90002,ZCTA5 90002,51223
8600000US90003,90003,ZCTA5 90003,66266
8600000US90004,90004,ZCTA5 90004,62180
8600000US90005,90005,ZCTA5 90005,37681
8600000US90006,90006,ZCTA5 90006,59185
8600000US90007,90007,ZCTA5 90007,40920
8600000US90008,90008,ZCTA5 90008,32327
8600000US90010,90010,ZCTA5 90010,3800
8600000US90011,90011,ZCTA5 90011,103892
8600000US90012,90012,ZCTA5 90012,31103
8600000US90013,90013,ZCTA5 90013,11772
8600000US90014,90014,ZCTA5 90014,7005
8600000US90015,90015,ZCTA5 90015,18986
8600000US90016,90016,ZCTA5 90016,47596
8600000US90017,90017,ZCTA5 90017,23768
8600000US90018,90018,ZCTA5 90018,49310
8600000US90019,90019,ZCTA5 90019,64458
8600000US90020,90020,ZCTA5 90020,38967
8600000US90021,90021,ZCTA5 90021,3951
8600000US90022,90022,ZCTA5 90022,67179
8600000US90023,90023,ZCTA5 90023,45903
8600000US90024,90024,ZCTA5 90024,47452
8600000US90025,90025,ZCTA5 90025,42147
8600000US90026,90026,ZCTA5 90026,67869
8600000US90027,90027,ZCTA5 90027,45151
8600000US90028,90028,ZCTA5 90028,28714
8600000US90029,90029,ZCTA5 90029,38617
8600000US90031,90031,ZCTA5 90031,39316
8600000US90032,90032,ZCTA5 90032,45786
8600000US90033,90033,ZCTA5 90033,48852
8600000US90034,90034,ZCTA5 90034,57964
8600000US90035,90035,ZCTA5 90035,28418
8600000US90036,90036,ZCTA5 90036,36865
8600000US90037,90037,ZCTA5 90037,62276
8600000US90038,90038,ZCTA5 90038,28917
8600000US90039,90039,ZCTA5 90039,28514
8600000US90040,90040,ZCTA5 90040,12520
8600000US90041,90041,ZCTA5 90041,27425
8600000US90042,90042,ZCTA5 90042,62430
8600000US90043,90043,ZCTA5 90043,44789
8600000US90044,90044,ZCTA5 90044,89779
8600000US90045,90045,ZCTA5 90045,39480
8600000US90046,90046,ZCTA5 90046,48581
8600000US90047,90047,ZCTA5 90047,48606
8600000US90048,90048,ZCTA5 90048,21397
8600000US90049,90049,ZCTA5 90049,35482
8600000US90056,90056,ZCTA5 90056,7827
8600000US90057,90057,ZCTA5 90057,44998
8600000US90058,90058,ZCTA5 90058,3223
8600000US90059,90059,ZCTA5 90059,40952
8600000US90061,90061,ZCTA5 90061,26872
8600000US90062,90062,ZCTA5 90062,32821
8600000US90063,90063,ZCTA5 90063,55758
8600000US90064,90064,ZCTA5 90064,25403
8600000US90065,90065,ZCTA5 90065,45527
8600000US90066,90066,ZCTA5 90066,55277
8600000US90067,90067,ZCTA5 90067,2424
8600000US90068,90068,ZCTA5 90068,22286
8600000US90069,90069,ZCTA5 90069,20483
8600000US90071,90071,ZCTA5 90071,15
8600000US90073,90073,ZCTA5 90073,539
