GEO.id2,HD01_VD18
Id2,Income Females: - Bachelor's degree
89010,-
89019,"2,500-"
89060,40689
89061,72794
89439,78505
90001,35823
90002,38176
90003,37083
90004,35138
90005,33478
90006,28023
90007,24471
90008,53625
90010,42208
90011,25553
90012,40147
90013,50639
90014,42910
90015,50685
90016,42857
90017,40524
90018,38101
90019,42927
90020,31649
90021,76354
90022,32878
90023,24406
90024,44973
90025,47056
90026,40608
90027,43922
90028,34462
90029,33750
90031,31755
90032,39397
90033,34900
90034,45657
90035,45234
90036,50934
90037,30139
90038,36212
90039,41444
90040,60583
90041,42404
90042,44233
90043,44382
90044,39243
90045,54213
90046,45556
90047,50557
90048,43475
90049,51622
90056,60702
90057,34335
90058,26125
90059,44500
90061,43889
90062,34125
90063,38976
90064,50833
90065,50083
90066,46109
90067,31964
90068,51959
90069,58828
90071,-
90073,-
90077,61042
90079,-
90089,"2,500-"
90090,-
90094,59352
90095,-
90201,31996
90210,46089
90211,65333
90212,52013
90220,51272
90221,46500
90222,38250
90230,51790
90232,47682
90240,41362
90241,50643
90242,46452
90245,59821
90247,41403
90248,51250
90249,52051
90250,45299
90254,56557
90255,38942
90260,52361
90262,38029
90263,10250
90265,48654
90266,62632
90270,47500
90272,51968
90274,52300
90275,44536
90277,60618
90278,57412
90280,38272
90290,43571
90291,52155
90292,61924
90293,46822
90301,36404
90302,42466
90303,52946
90304,34167
90305,55469
90401,65000
90402,61711
90403,47233
90404,44175
90405,49698
90501,51113
90502,50046
90503,48750
90504,46987
90505,44173
90506,-
90601,52790
90602,40026
90603,47220
90604,39185
90605,40774
90606,40352
90620,46120
90621,40816
90623,47854
90630,48750
90631,44932
90638,47409
90640,41925
90650,41960
90660,41023
90670,41667
90680,44132
90701,29901
90703,47091
90704,35658
90706,46232
90710,45335
90712,55313
90713,53112
90715,45625
90716,50104
90717,52500
90720,54053
90723,39615
90731,42949
90732,54213
90740,44647
90742,31957
90743,-
90744,37669
90745,42325
90746,55777
90747,-
90755,54786
90802,45015
90803,48990
90804,33047
90805,41135
90806,40579
90807,53573
90808,53462
90810,37443
90813,36506
90814,44375
90815,50430
90822,-
90831,-
91001,63822
91006,41996
91007,48066
91008,48906
91010,50611
91011,51250
91016,49397
91020,46518
91024,37212
91030,47744
91040,38750
91042,48796
91046,-
91101,48237
91103,47407
91104,56633
91105,57557
91106,51641
91107,51709
91108,44548
91201,38889
91202,46019
91203,40313
91204,32500
91205,35856
91206,42318
